ons_id,constituency_name,region_name,constituency_type,first_party,second_party,electorate,valid_votes,majority,con,lab,ld,brexit,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner
E14000829,Newark,East Midlands,County,Con,Lab,75850,54762,21816,34660,12844,5308,0,1950,0,0,0,0,0,0,0,0,0
E14000830,Newbury,South East,County,Con,LD,83414,59998,16047,34431,4404,18384,0,2454,0,0,0,0,0,0,0,325,0
E14000834,Newcastle-Under-Lyme,West Midlands,Borough,Con,Lab,68211,44739,7446,23485,16039,2361,1921,933,0,0,0,0,0,0,0,0,0
E14000831,Newcastle Upon Tyne Central,North East,Borough,Lab,Con,57845,37474,12278,9290,21568,2709,2542,1365,0,0,0,0,0,0,0,0,0
E14000832,Newcastle Upon Tyne East,North East,Borough,Lab,Con,63796,43365,15463,10586,26049,4535,0,2195,0,0,0,0,0,0,0,0,0
E14000833,Newcastle Upon Tyne North,North East,Borough,Lab,Con,68486,46999,5765,15589,21354,4357,4331,1368,0,0,0,0,0,0,0,0,0
E14000827,New Forest East,South East,County,Con,Lab,73549,50786,25251,32769,7518,7390,0,2434,0,0,0,0,0,0,0,675,0
E14000828,New Forest West,South East,County,Con,LD,70869,50306,24403,32113,6595,7710,0,3888,0,0,0,0,0,0,0,0,0
W07000055,Newport East,Wales,County,Lab,Con,58554,36282,1992,14133,16125,2121,2454,577,0,872,0,0,0,0,0,0,0
W07000056,Newport West,Wales,County,Lab,Con,66657,43433,902,18075,18977,2565,1727,902,0,1187,0,0,0,0,0,0,0
N06000011,Newry and Armagh,Northern Ireland,County,SF,DUP,81226,50779,9287,0,0,0,0,0,0,0,11000,20287,9449,4204,4211,1628,0
E14000835,Newton Abbot,South West,County,Con,LD,72529,52556,17501,29190,9329,11689,0,1508,0,0,0,0,0,0,0,840,0
E14000836,"Normanton, Pontefract and Castleford",Yorkshire and The Humber,County,Lab,Con,84527,48259,1276,17021,18297,3147,8032,0,0,0,0,0,0,0,0,1762,0
E14000861,Northampton North,East Midlands,Borough,Con,Lab,58768,39539,5507,21031,15524,2031,0,953,0,0,0,0,0,0,0,0,0
E14000862,Northampton South,East Midlands,Borough,Con,Lab,62163,40835,4697,20914,16217,2482,0,1222,0,0,0,0,0,0,0,0,0
N06000012,North Antrim,Northern Ireland,County,DUP,UUP,77134,44051,12721,0,0,0,0,0,0,0,20860,5632,2943,8139,6231,246,0
S14000048,North Ayrshire and Arran,Scotland,County,SNP,Con,73534,48154,8521,14855,6702,2107,0,1114,23376,0,0,0,0,0,0,0,0
E14000837,North Cornwall,South West,County,Con,LD,69935,51678,14752,30671,4516,15919,0,0,0,0,0,0,0,0,0,572,0
E14000838,North Devon,South West,County,Con,LD,75859,55581,14813,31479,5097,16666,0,1759,0,0,0,0,0,0,0,580,0
E14000839,North Dorset,South West,County,Con,LD,76765,56107,24301,35705,6737,11404,0,2261,0,0,0,0,0,0,0,0,0
N06000013,North Down,Northern Ireland,County,Alliance,DUP,67099,40643,2968,1959,0,0,0,0,0,0,15390,0,0,4936,18358,0,0
E14000840,North Durham,North East,County,Lab,Con,66796,42195,4742,13897,18639,2879,4693,1126,0,0,0,0,0,0,0,961,0
E14000841,North East Bedfordshire,East,County,Con,Lab,90678,65018,24283,38443,14160,7999,0,1891,0,0,0,0,0,0,0,2525,0
E14000842,North East Cambridgeshire,East,County,Con,Lab,83699,52964,29993,38423,8430,4298,0,1813,0,0,0,0,0,0,0,0,0
E14000843,North East Derbyshire,East Midlands,County,Con,Lab,72345,49217,12876,28897,16021,3021,0,1278,0,0,0,0,0,0,0,0,0
S14000049,North East Fife,Scotland,County,LD,SNP,60905,45878,1316,5961,1707,19763,0,0,18447,0,0,0,0,0,0,0,0
E14000844,North East Hampshire,South East,County,Con,LD,78954,59270,20211,35280,5760,15069,0,1754,0,0,0,0,0,0,0,1407,0
E14000845,North East Hertfordshire,East,County,Con,Lab,76123,55327,18189,31293,13104,8563,0,2367,0,0,0,0,0,0,0,0,0
E14000846,North East Somerset,South West,County,Con,Lab,73692,56308,14729,28360,13631,12422,0,1423,0,0,0,0,0,0,0,472,0
E14000847,North Herefordshire,West Midlands,County,Con,LD,70252,51033,24856,32158,6804,7302,0,4769,0,0,0,0,0,0,0,0,0
E14000848,North Norfolk,East,County,Con,LD,70729,50823,14395,29792,3895,15397,1739,0,0,0,0,0,0,0,0,0,0
E14000849,North Shropshire,West Midlands,County,Con,Lab,83258,56513,22949,35444,12495,5643,0,1790,0,0,0,0,0,0,0,1141,0
E14000850,North Somerset,South West,County,Con,Lab,80194,62055,17536,32801,15265,11051,0,2938,0,0,0,0,0,0,0,0,0
E14000851,North Swindon,South West,County,Con,Lab,82441,55115,16171,32584,16413,4408,0,1710,0,0,0,0,0,0,0,0,0
E14000852,North Thanet,South East,County,Con,Lab,72756,48178,17189,30066,12877,3439,0,1796,0,0,0,0,0,0,0,0,0
E14000853,North Tyneside,North East,Borough,Lab,Con,78902,50429,9561,15490,25051,3241,5254,1393,0,0,0,0,0,0,0,0,0
E14000854,North Warwickshire,West Midlands,County,Con,Lab,70271,45914,17956,30249,12293,2069,0,1303,0,0,0,0,0,0,0,0,0
E14000855,North West Cambridgeshire,East,County,Con,Lab,94909,64533,25983,40307,14324,6881,0,3021,0,0,0,0,0,0,0,0,0
E14000856,North West Durham,North East,County,Con,Lab,72166,47663,1144,19990,18846,2831,3193,1173,0,0,0,0,0,0,0,1630,0
E14000857,North West Hampshire,South East,County,Con,LD,83083,58918,26308,36591,9327,10283,0,2717,0,0,0,0,0,0,0,0,0
E14000858,North West Leicestershire,East Midlands,County,Con,Lab,78935,53821,20400,33811,13411,3614,0,2478,0,0,0,0,0,0,0,507,0
E14000859,North West Norfolk,East,County,Con,Lab,72080,46602,19922,30627,10705,3625,0,1645,0,0,0,0,0,0,0,0,0
E14000860,North Wiltshire,South West,County,Con,LD,73280,54758,17626,32373,5699,14747,0,1939,0,0,0,0,0,0,0,0,0
E14000863,Norwich North,East,Borough,Con,Lab,67172,46285,4738,23397,18659,2663,0,1078,0,0,0,0,0,0,0,488,0
E14000864,Norwich South,East,Borough,Lab,Con,77845,51673,12760,15006,27766,4776,1656,2469,0,0,0,0,0,0,0,0,0
E14000865,Nottingham East,East Midlands,Borough,Lab,Con,66262,40004,17393,8342,25735,1954,1343,1183,0,0,0,0,0,0,0,1447,0
E14000866,Nottingham North,East Midlands,Borough,Lab,Con,66495,35320,4490,12847,17337,1582,2686,868,0,0,0,0,0,0,0,0,0
E14000867,Nottingham South,East Midlands,Borough,Lab,Con,79485,48134,12568,14018,26586,3935,2012,1583,0,0,0,0,0,0,0,0,0
E14000868,Nuneaton,West Midlands,County,Con,Lab,70226,45190,13144,27390,14246,1862,0,1692,0,0,0,0,0,0,0,0,0
S14000050,Ochil and South Perthshire,Scotland,County,SNP,Con,78776,57813,4498,22384,4961,3204,0,0,26882,0,0,0,0,0,0,382,0
W07000074,Ogmore,Wales,County,Lab,Con,57581,35390,7805,9797,17602,1460,2991,621,0,2919,0,0,0,0,0,0,0
E14000869,Old Bexley and Sidcup,London,Borough,Con,Lab,66104,46145,18952,29786,10834,3822,0,1477,0,0,0,0,0,0,0,226,0
E14000870,Oldham East and Saddleworth,North West,County,Lab,Con,72120,46164,1499,18589,20088,2423,2980,778,0,0,0,0,0,0,0,1306,0
E14000871,Oldham West and Royton,North West,Borough,Lab,Con,72999,44434,11127,13452,24579,1484,3316,681,0,0,0,0,0,0,0,922,0
S14000051,Orkney and Shetland,Scotland,County,LD,SNP,34211,23160,2507,2287,1550,10381,900,0,7874,0,0,0,0,0,0,168,0
E14000872,Orpington,London,Borough,Con,Lab,68877,48721,22378,30882,8504,7552,0,1783,0,0,0,0,0,0,0,0,0
